Ticker,MarketCap,TrailingPE,ForwardPE,TrailingEPS,ForwardEPS,TotalRevenue,DividendYield,Beta,Sector,Industry,FullTimeEmployees,Sector_Encoded,Industry_Encoded
IPCALAB.BO,343375675392.0,47.174973,34.066196,28.69,39.73,87267696640.0,0.3,0.272,Healthcare,Drug Manufacturers - Specialty & Generic,17335.0,7,32
IRB.BO,261488705536.0,4.0505147,21.862724,10.69,,75254652928.0,0.92,0.968,Industrials,Infrastructure Operations,3180.0,8,48
ISFT.BO,1697232384.0,13.18758,7.432143,7.89,14.0,4986572800.0,,0.657,Consumer Cyclical,Internet Retail,35.0,3,52
ISGEC.BO,68327292928.0,27.395344,26.10253,33.92,35.6,65481973760.0,0.43,0.654,Industrials,Specialty Industrial Machinery,2979.0,8,87
ITC.BO,4942828404736.0,24.515528,22.166449,16.1,,765452025856.0,3.55,0.263,Consumer Defensive,Tobacco,37312.0,4,93
ITDC.BO,42207121408.0,57.826088,,8.51,,5358615040.0,0.51,1.05,Consumer Cyclical,Lodging,465.0,3,54
ITDCEM.BO,92044009472.0,26.381094,18.649496,20.31,28.73,88749457408.0,0.32,0.969,Industrials,Engineering & Construction,2632.0,8,37
ITI.BO,236426248192.0,,,-4.67,,31720022016.0,,0.375,Technology,Communication Equipment,1007.0,10,22
IVC.BO,2936208640.0,51.944443,,0.18,,486984992.0,7.49,0.547,Financial Services,Financial Conglomerates,17.0,6,41
IVP.BO,1528292352.0,12.5,,11.84,,5318499840.0,0.68,0.752,Basic Materials,Specialty Chemicals,208.0,1,86
IVRCLINFRA.BO,,,,,,,,,Unknown,Unknown,,11,97
IZMO.BO,3810975744.0,7.1081834,27.944384,36.05,9.17,2172134912.0,,1.028,Technology,Software - Application,386.0,10,82
JAGRAN.BO,14682938368.0,8.659821,5.943612,7.79,11.35,19167705088.0,7.41,0.535,Communication Services,Publishing,4780.0,2,73
JAGSNPHARM.BO,13708936192.0,21.736841,,9.5,,2536420096.0,0.97,1.049,Healthcare,Drug Manufacturers - Specialty & Generic,1025.0,7,32
JAIBALAJI.BO,119459266560.0,13.527892,,9.68,,66068701184.0,,0.466,Basic Materials,Steel,4431.0,1,89
JAICORPLTD.BO,16716850176.0,25.265253,,3.77,,5259948032.0,0.52,0.394,Basic Materials,Specialty Chemicals,1378.0,1,86
JAINSTUDIO.BO,81780856.0,,,,,,,,Unknown,Unknown,,11,97
JAMNAAUTO.BO,28423333888.0,15.419913,14.276553,4.62,4.99,22725691392.0,2.81,0.723,Consumer Cyclical,Auto Parts,1061.0,3,10
JAYAGROGN.BO,7308000256.0,12.107356,,20.12,,25201993728.0,2.05,0.811,Basic Materials,Specialty Chemicals,695.0,1,86
JAYBARMARU.BO,7076302848.0,29.986238,2.0015311,2.18,32.66,22775619584.0,1.07,0.91,Consumer Cyclical,Auto Parts,1077.0,3,10
JAYNECOIND.BO,30634987520.0,242.6923,,0.13,,57369116672.0,,1.433,Basic Materials,Steel,4261.0,1,89
JBCHEPHARM.BO,256258260992.0,40.988544,30.765757,40.16,,38302437376.0,1.03,0.038,Healthcare,Drug Manufacturers - Specialty & Generic,5311.0,7,32
JBFIND.BO,361873376.0,,,,,,,,Unknown,Unknown,,11,97
JBMA.BO,122113671168.0,63.668312,17.444256,8.11,29.6,53160116224.0,0.15,0.676,Consumer Cyclical,Auto Parts,3351.0,3,10
JCHAC.BO,44125392896.0,85.455505,40.519352,18.99,40.05,25956999168.0,,0.335,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1169.0,3,45
JETAIRWAYS.BO,3866842112.0,,,-58.33,,747600000.0,,1.352,Industrials,Airlines,,8,3
JHS.BO,1119700352.0,,8.662251,-1.65,1.51,890968000.0,,0.841,Consumer Defensive,Household & Personal Products,250.0,4,46
JINDALPHOT.BO,5733876736.0,1.9577247,,285.51,,209112000.0,,0.009,Financial Services,Asset Management,2.0,6,8
JINDALPOLY.BO,28314476544.0,10.4924555,,61.63,,50107424768.0,0.85,0.357,Consumer Cyclical,Packaging & Containers,278.0,3,69
JINDALSAW.BO,156741025792.0,8.077428,14.439883,30.48,17.05,212074594304.0,0.81,0.905,Basic Materials,Steel,7517.0,1,89
JINDALSTEL.BO,866083667968.0,15.384616,12.736763,55.64,,500687798272.0,0.23,1.371,Basic Materials,Steel,5938.0,1,89
JINDCOT.BO,117008056.0,0.11428571,,,,,,,Unknown,Unknown,,11,97
JINDRILL.BO,22598012928.0,17.483185,,44.6,,7808760832.0,0.06,0.499,Energy,Oil & Gas Equipment & Services,649.0,5,64
JINDWORLD.BO,82864889856.0,100.79269,17.585108,0.82,4.7,22563295232.0,0.05,0.439,Consumer Cyclical,Textile Manufacturing,1562.0,3,91
JISLDVREQS.BO,37515259904.0,44.193546,,0.62,,57571749888.0,,1.395,Industrials,Conglomerates,8353.0,8,25
JISLJALEQS.BO,37515358208.0,89.048386,5.9174705,0.62,9.33,57571749888.0,,1.395,Industrials,Conglomerates,8353.0,8,25
JKCEMENT.BO,339651690496.0,47.169758,83.76048,93.19,52.48,114037399552.0,0.34,0.826,Basic Materials,Building Materials,4097.0,1,17
JKIL.BO,50816950272.0,13.4051895,25.20075,50.1,26.65,54857138176.0,0.6,0.649,Industrials,Engineering & Construction,7335.0,8,37
JKLAKSHMI.BO,79244861440.0,29.065603,37.643936,23.17,17.89,60758499328.0,1.52,0.727,Basic Materials,Building Materials,1621.0,1,17
JKPAPER.BO,48796246016.0,10.417721,4.325075,27.65,66.6,67350798336.0,2.95,0.597,Basic Materials,Paper & Paper Products,2879.0,1,70
JKTYRE.BO,72656404480.0,12.871359,12.821567,20.6,20.68,146327699456.0,2.45,0.971,Consumer Cyclical,Auto Parts,5681.0,3,10
JMFINANCIL.BO,88214740992.0,23.05,8.882466,4.0,10.38,25777100800.0,2.17,0.518,Financial Services,Capital Markets,290.0,6,20
JPASSOCIAT.BO,9695670272.0,,,-8.74,,63160098816.0,,1.177,Industrials,Conglomerates,4939.0,8,25
JPINFRATEC.BO,1736166144.0,,,,,,,,Unknown,Unknown,,11,97
JPPOWER.BO,91562221568.0,9.342657,,1.43,,56361099264.0,,1.443,Utilities,Utilities - Independent Power Producers,2102.0,12,98
JPTRLES.BO,3620000.0,,,-0.82,,,,0.003,Financial Services,Shell Companies,1.0,6,81
JSL.BO,482038874112.0,19.959087,49.736618,29.33,11.77,385679097856.0,0.51,1.175,Basic Materials,Steel,5252.0,1,89
JSWENERGY.BO,809932292096.0,42.365295,79.16382,10.95,5.86,113118699520.0,0.43,0.124,Utilities,Utilities - Independent Power Producers,2500.0,12,98
JSWHL.BO,181702000640.0,82.64348,,198.11,,2456143104.0,,0.817,Industrials,Conglomerates,3.0,8,25
JSWSTEEL.BO,2322579062784.0,70.40681,30.38302,13.52,31.33,1702739968000.0,0.77,1.095,Basic Materials,Steel,13301.0,1,89
JUBLFOOD.BO,411803516928.0,107.61168,22.391848,5.82,27.97,76113403904.0,0.19,0.352,Consumer Cyclical,Restaurants,9239.0,3,80
JUNIORBEES.BO,,,,,,,,,Unknown,Unknown,,11,97
JUSTDIAL.BO,71833542656.0,13.24604,13.264722,63.77,,11230000128.0,,0.745,Communication Services,Internet Content & Information,12834.0,2,51
JYOTHYLAB.BO,118224560128.0,31.750494,50.06999,10.14,6.43,28441399296.0,1.09,0.753,Consumer Defensive,Household & Personal Products,2943.0,4,46
JYOTISTRUC.BO,17040684032.0,41.341465,,0.41,,4620945920.0,,0.273,Industrials,Specialty Industrial Machinery,197.0,8,87
KABRAEXTRU.BO,11645942784.0,28.906248,,11.52,,5052156928.0,1.05,0.91,Industrials,Specialty Industrial Machinery,559.0,8,87
KAJARIACER.BO,135691780096.0,38.307106,47.121128,22.24,18.08,46974898176.0,1.29,0.721,Industrials,Building Products & Equipment,4484.0,8,18
KAKATCEM.BO,1214665600.0,,,-5.19,,1002305984.0,1.92,0.649,Basic Materials,Building Materials,429.0,1,17
KALYANIFRG.BO,1900855040.0,27.926245,,18.71,,2345138944.0,0.57,0.143,Consumer Cyclical,Auto Parts,851.0,3,10
KAMATHOTEL.BO,7887400448.0,21.930326,,12.2,,3573295104.0,,1.065,Consumer Cyclical,Lodging,1539.0,3,54
KAMDHENU.BO,8282656768.0,15.798943,2.9274511,1.89,10.2,7300677120.0,0.67,1.995,Basic Materials,Steel,549.0,1,89
KANANIIND.BO,459053760.0,116.0,,0.02,,1881392000.0,,0.113,Consumer Cyclical,Luxury Goods,4.0,3,56
KANORICHEM.BO,3486725376.0,,,-13.93,,14683110400.0,,0.642,Basic Materials,Chemicals,382.0,1,21
KANSAINER.BO,183234052096.0,15.950035,19.521963,14.21,11.61,77757095936.0,1.1,0.352,Basic Materials,Specialty Chemicals,3784.0,1,86
KARURVYSYA.BO,160828014592.0,8.53117,14.605263,23.42,13.68,53616979968.0,1.2,0.867,Financial Services,Banks - Regional,8889.0,6,11
KCP.BO,22097057792.0,13.390624,,12.8,,25191899136.0,0.58,0.688,Basic Materials,Building Materials,925.0,1,17
KCPSUGIND.BO,3824475904.0,7.899297,,4.27,,3203909120.0,0.59,0.336,Consumer Defensive,Confectioners,328.0,4,24
