,Security Id,Security Name,Group,Industry
2686,DARSHANORNA,Darshan Orna Ltd,M ,Other Apparels &amp; Accessories
2687,PARAGMILK,Parag Milk Foods Ltd,A ,Packaged Foods
2688,MADHAVIPL,Madhav Infra Projects Ltd,XT,Construction &amp; Engineering
2691,SNIM,Svarnim Trade Udyog Ltd,XT,Comm.Trading  &amp; Distribution
2693,SEIL,Shanti Educational Initiatives Ltd,M ,Education
2694,LIKHAMI,Likhami Consulting Ltd,XT,Consulting Services
2696,YASHCHEM,Yash Chemex Ltd,M ,Specialty Chemicals
2697,MAXVIL,Max Ventures and Industries Ltd,B ,Holding Companies
2698,BAZELINTER,Bazel International Ltd,XT,Finance (including NBFCs)
2699,JLL,Jindal Leasefin Ltd,XT,Investment Companies
2700,MGL,Mahanagar Gas Ltd,A ,Utilities:Non-Elec.
2702,ZEAL,Zeal Aqua Ltd,M ,Other Food Products
2703,QUESS,Quess Corp Ltd,B ,Diversified
2706,ASYL,Advance Syntex Ltd,M ,Containers &amp; Packaging
2708,HUIL,Hindusthan Urban Infrastructure Ltd,XT,Electronic Components
2709,TITAANIUM,Titaanium Ten Enterprise Ltd,M ,Textiles
2710,COMSYN,Commercial Syn Bags Ltd,M ,Containers &amp; Packaging
2713,KPL,Kwality Pharmaceuticals Ltd,MT,Pharmaceuticals
2715,ADVENZYMES,Advanced Enzyme Technologies Ltd,A ,Other Agricultural Products
2716,LAHL,Ladam Affordable Housing Ltd,XT,Realty
2718,DBL,Dilip Buildcon Ltd,A ,Roads &amp; Highways
2719,SPAL,S.P. Apparels Ltd,B ,Textiles
2720,BIGBLOC,Bigbloc Construction Ltd,B ,Cement &amp; Cement Products
2721,GOLDENCREST,Golden Crest Education &amp; Services Ltd,XT,Education
2722,ECS,ECS Biztech Ltd,XT,IT Consulting &amp; Software
2723,FRETAIL,Future Retail Ltd,T ,Department Stores
2724,RBLBANK,RBL Bank Ltd,A ,Banks
2726,SHIVAEXPO,Shiva Granito Export Ltd,M ,Construction Materials
2727,BLS,BLS International Services Ltd,B ,Travel Support Services
2728,MITSU,Mitsu Chem Plast Ltd,M ,Containers &amp; Packaging
2729,SPRAYKING,Sprayking Agro Equipment Ltd,M ,Other Industrial Products
2732,RSTL,Riddhi Steel and Tube Ltd,M ,Iron &amp; Steel Products
2733,TVVISION,TV Vision Ltd,B ,Broadcasting &amp; Cable TV
2735,VISCO,Visco Trade Associates Ltd,XT,Other Financial Services
2737,LTTS,L&amp;T Technology Services Ltd,A ,Internet Software &amp; Services
2738,GNA,G N A Axles Ltd,B ,Auto Parts &amp; Equipment
2739,RADHIKAJWE,Radhika Jeweltech Ltd,M ,Other Apparels &amp; Accessories
2740,SIIL,Sabrimala Industries India Ltd,XT,Comm.Trading  &amp; Distribution
2741,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,B ,Life Insurance
2742,ARCFIN,ARC Finance Ltd,XT,Other Financial Services
2743,HPL,HPL Electric &amp; Power Ltd,B ,Heavy Electrical Equipment
2744,DRA,DRA Consultants Ltd,M ,Consulting Services
2745,VALIANTORG,Valiant Organics Ltd,M ,Pharmaceuticals
2746,ACML,Aditya Consumer Marketing Ltd,M ,Distributors
2747,SHASHIJIT,Shashijit Infraprojects Ltd,M ,Construction &amp; Engineering
2749,MHEL,Mewar Hi-Tech Engineering Ltd,M ,Construction &amp; Engineering
2752,ENDURANCE,Endurance Technologies Ltd,B ,2/3 Wheelers
2753,PNBHOUSING,PNB Housing Finance Ltd,B ,Housing Finance 
2754,REGENCY,Regency Investments Ltd,XT,Other Financial Services
2755,VBL,Varun Beverages Ltd,B ,Containers &amp; Packaging
2756,SALEM,Salem Erode Investments Ltd,XT,Finance (including NBFCs)
2757,FRANKLININD,Franklin Industries Ltd,XT,Comm.Trading  &amp; Distribution
2759,SFL,Sheela Foam Ltd,B ,Furniture-Furnishing-Paints
2761,AVL,Aditya Vision Ltd,M ,Comm.Trading  &amp; Distribution
2764,TCIEXP,TCI Express Ltd,B ,Transportation - Logistics
2765,LAURUSLABS,Laurus Labs Ltd,B ,Pharmaceuticals
2766,NEWLIGHT,New Light Apparels Ltd,XT,Comm.Trading  &amp; Distribution
2768,SHANGAR,Shangar Decor Ltd,XT,Sp.Consumer Services
2769,GLCL,Globe Commercials Ltd,XT,Comm.Trading  &amp; Distribution
2770,FLORACORP,Flora Corporation Ltd,XT,Comm.Trading  &amp; Distribution
2772,SKL,Super Fine Knitters Ltd,M ,Other Apparels &amp; Accessories
2774,PRICOLLTD,Pricol Ltd,B ,Auto Parts &amp; Equipment
2775,CFL,Classic Filaments Ltd,XT,Textiles
2776,JITFINFRA,JITF Infralogistics Ltd,T ,Transport Related Services
2778,TANVI,Tanvi Foods (India) Ltd,M ,Comm.Trading  &amp; Distribution
2779,PARMAX,Parmax Pharma Ltd,XT,Pharmaceuticals
